Date, Filename, Original, Optimized
6/22/2014 7:51:29 PM, ToRemove/web-new-proj.png, 50398, 32126
6/22/2014 7:51:34 PM, ToRemove/oncheckin.png, 38237, 28987
6/22/2014 7:51:39 PM, ToRemove/mugshot.png, 151198, 129860
6/22/2014 7:51:44 PM, ToRemove/ligershark.png, 21012, 12404
6/22/2014 7:51:49 PM, ToRemove/error.png, 8933, 5130
6/22/2014 7:51:54 PM, ToRemove/drives.png, 16683, 10143
6/22/2014 7:51:59 PM, ToRemove/disk-01.png, 9629, 8054
6/22/2014 7:53:40 PM, ToRemove/08.jpg, 91960, 88862
6/22/2014 7:53:40 PM, ToRemove/07.jpg, 244781, 244206
6/22/2014 7:53:40 PM, ToRemove/06.jpg, 48127, 47553
6/22/2014 7:53:41 PM, ToRemove/05.jpg, 487888, 484789
6/22/2014 7:53:42 PM, ToRemove/04.jpg, 869177, 824933
6/22/2014 7:53:42 PM, ToRemove/03.jpg, 31655, 31080
6/22/2014 7:53:42 PM, ToRemove/02.jpg, 40340, 39764
6/22/2014 7:53:43 PM, ToRemove/01.jpg, 473029, 469929
